TOURNAMENT_ID,YEAR,TOURNAMENT,WINNER,RUNNER-UP,WINNER_NATIONALITY,WINNER_ATP_RANKING,RUNNER-UP_ATP_RANKING,WINNER_LEFT_OR_RIGHT_HANDED,TOURNAMENT_SURFACE,WINNER_PRIZE
234,2008,French Open,Rafael Nadal,Roger Federer,Spanish,1,2,left,Clay,1000000
233,2008,Australian Open,Novak Djokovic,Jo-Wilfried Tsonga,Serbian,3,6,right,Plexicushion Prestige,1370000
232,2007,U.S. Open,Roger Federer,Novak Djokovic,Swiss,1,3,right,DecoTurf - outdoors,1400000
231,2007,Wimbledon,Roger Federer,Rafael Nadal,Swiss,1,2,right,Grass / Outdoor,700000
230,2007,French Open,Rafael Nadal,Roger Federer,Spanish,2,1,left,Clay,1000000
229,2007,Australian Open,Roger Federer,Fernando Gonzalez,Swiss,1,7,right,Rebound Ace,1281000
228,2006,U.S. Open,Roger Federer,Andy Roddick,Swiss,,,right,DecoTurf - outdoors,1200000
227,2006,Wimbledon,Roger Federer,Rafael Nadal,Swiss,,,right,Grass / Outdoor,655000
226,2006,French Open,Rafael Nadal,Roger Federer,Spanish,,,left,Clay,940000
225,2006,Australian Open,Roger Federer,Marcos Baghdatis,Swiss,,,right,Rebound Ace,1220000
224,2005,U.S. Open,Roger Federer,Andre Agassi,Swiss,,,right,DecoTurf - outdoors,1100000
223,2005,Wimbledon,Roger Federer,Andy Roddick,Swiss,,,right,Grass / Outdoor,630000
222,2005,French Open,Rafael Nadal,Mariano Puerta,Spanish,,,left,Clay,880000
221,2005,Australian Open,Marat Safin,Lleyton Hewitt,Russian,,,right,Rebound Ace,1206620
220,2004,U.S. Open,Roger Federer,Lleyton Hewitt,Swiss,,,right,DecoTurf - outdoors,1000000
219,2004,Wimbledon,Roger Federer,Andy Roddick,Swiss,,,right,Grass / Outdoor,602500
218,2004,French Open,Gaston Gaudio,Guillermo Coria,Argentine,,,right,Clay,860000
217,2004,Australian Open,Roger Federer,Marat Safin,Swiss,,,right,Rebound Ace,1200000
216,2003,U.S. Open,Andy Roddick,Juan Carlos Ferrero,American,,,right,DecoTurf - outdoors,1000000
215,2003,Wimbledon,Roger Federer,Mark Philippoussis,Swiss,,,right,Grass / Outdoor,575000
214,2003,French Open,Juan Carlos Ferrero,Martin Verkerk,Spanish,,,right,Clay,840000
213,2003,Australian Open,Andre Agassi,Rainer Schuettler,American,,,right,Rebound Ace,1127850
212,2002,U.S. Open,Pete Sampras,Andre Agassi,American,,,right,DecoTurf - outdoors,900000
211,2002,Wimbledon,Lleyton Hewitt,David Nalbandian,Australian,,,right,Grass / Outdoor,525000
210,2002,French Open,Albert Costa,Juan Carlos Ferrero,Spanish,,,right,Clay,780000
209,2002,Australian Open,Thomas Johannson,Marat Safin,Swedish,,,right,Rebound Ace,1000000
208,2001,U.S. Open,Lleyton Hewitt,Pete Sampras,Australian,,,right,DecoTurf - outdoors,850000
207,2001,Wimbledon,Goran Ivanisevic,Patrick Rafter,Croatian,,,left,Grass / Outdoor,500000
206,2001,French Open,Gustavo Kuerten,Alex Corretja,Brazilian,,,right,Clay,4538000
205,2001,Australian Open,Andre Agassi,Arnaud Clement,American,,,right,Rebound Ace,830500
204,2000,U.S. Open,Marat Safin,Pete Sampras,Russian,,,right,DecoTurf - outdoors,800000
203,2000,Wimbledon,Pete Sampras,Patrick Rafter,American,,,right,Grass / Outdoor,477500
202,2000,French Open,Gustavo Kuerten,Magnus Norman,Brazilian,,,right,Clay,4240000
201,2000,Australian Open,Andre Agassi,Yevgeny Kafelnikov,American,,,right,Rebound Ace,755000
200,1999,U.S. Open,Andre Agassi,Todd Martin,American,,,right,DecoTurf - outdoors,750000
199,1999,Wimbledon,Pete Sampras,Andre Agassi,American,,,right,Grass / Outdoor,455000
198,1999,French Open,Andre Agassi,Andre Medvedev,American,,,right,Clay,4040000
197,1999,Australian Open,Yevgeny Kafelnikov,Thomas Enqvist,Russian,,,right,Rebound Ace,722000
196,1998,U.S. Open,Patrick Rafter,Mark Philippoussis,Australian,,,right,DecoTurf - outdoors,700000
195,1998,Wimbledon,Pete Sampras,Goran Ivanisevic,American,,,right,Grass / Outdoor,435000
194,1998,French Open,Carlos Moya,Alex Corretja,Spanish,,,right,Clay,3852000
193,1998,Australian Open,Petr Korda,Marcelo Rios,Czech,,,left,Rebound Ace,615000
192,1997,U.S. Open,Patrick Rafter,Greg Rusedski,Australian,,,right,DecoTurf - outdoors,650000
191,1997,Wimbledon,Pete Sampras,Cedric Pioline,American,,,right,Grass / Outdoor,415000
190,1997,French Open,Gustavo Kuerten,Sergi Bruguera,Brazilian,,,right,Clay,3668000
189,1997,Australian Open,Pete Sampras,Carlos Moya,American,,,right,Rebound Ace,585000
188,1996,U.S. Open,Pete Sampras,Michael Chang,American,,,right,DecoTurf - outdoors,600000
187,1996,Wimbledon,Richard Krajicek,MaliVai Washington,Dutch,,,right,Grass / Outdoor,392500
186,1996,French Open,Yevgeny Kafelnikov,Michael Stich,Russian,,,right,Clay,3452000
185,1996,Australian Open,Boris Becker,Michael Chang,German,,,right,Rebound Ace,562000
184,1995,U.S. Open,Pete Sampras,Andre Agassi,American,,,right,DecoTurf - outdoors,575000
183,1995,Wimbledon,Pete Sampras,Boris Becker,American,,,right,Grass / Outdoor,365000
182,1995,French Open,Thomas Muster,Michael Chang,Austrian,,,left,Clay,3320000
181,1995,Australian Open,Andre Agassi,Pete Sampras,American,,,right,Rebound Ace,480000
180,1994,U.S. Open,Andre Agassi,Michael Stich,American,,,right,DecoTurf - outdoors,550000
179,1994,Wimbledon,Pete Sampras,Goran Ivanisevic,American,,,right,Grass / Outdoor,345000
178,1994,French Open,Sergi Bruguera,Alberto Berasategui,Spanish,,,right,Clay,3160000
177,1994,Australian Open,Pete Sampras,Todd Martin,American,,,right,Rebound Ace,460000
176,1993,U.S. Open,Pete Sampras,Cedric Pioline,American,,,right,DecoTurf - outdoors,535000
175,1993,Wimbledon,Pete Sampras,Jim Courier,American,,,right,Grass / Outdoor,305000
174,1993,French Open,Sergi Bruguera,Jim Courier,Spanish,,,right,Clay,2680000
173,1993,Australian Open,Jim Courier,Stefan Edberg,American,,,right,Rebound Ace,410000
172,1992,U.S. Open,Stefan Edberg,Pete Sampras,Swedish,,,right,DecoTurf - outdoors,500000
171,1992,Wimbledon,Andre Agassi,Goran Ivanisevic,American,,,right,Grass / Outdoor,265000
170,1992,French Open,Jim Courier,Petr Korda,American,,,right,Clay,2680000
169,1992,Australian Open,Jim Courier,Stefan Edberg,American,,,right,Rebound Ace,360000
168,1991,U.S. Open,Stefan Edberg,Jim Courier,Swedish,,,right,DecoTurf - outdoors,400000
167,1991,Wimbledon,Michael Stich,Boris Becker,German,,,right,Grass / Outdoor,240000
166,1991,French Open,Jim Courier,Andre Agassi,American,,,right,Clay,2448000
165,1991,Australian Open,Boris Becker,Ivan Lendl,German,,,right,Rebound Ace,320000
164,1990,U.S. Open,Pete Sampras,Andre Agassi,American,,,right,DecoTurf - outdoors,350000
163,1990,Wimbledon,Stefan Edberg,Boris Becker,Swedish,,,right,Grass / Outdoor,230000
162,1990,French Open,Andres Gomez,Andre Agassi,Ecuadorian,,,left,Clay,2226100
161,1990,Australian Open,Ivan Lendl,Stefan Edberg,Czechoslovakia,,,right,Rebound Ace,266667
160,1989,U.S. Open,Boris Becker,Ivan Lendl,German,,,right,DecoTurf - outdoors,300000
159,1989,Wimbledon,Boris Becker,Stefan Edberg,German,,,right,Grass / Outdoor,190000
158,1989,French Open,Michael Chang,Stefan Edberg,American,,,right,Clay,1791390
157,1989,Australian Open,Ivan Lendl,Miloslav Mecir,Czechoslovakia,,,right,Rebound Ace,140000
156,1988,U.S. Open,Mats Wilander,Ivan Lendl,Swedish,,,right,DecoTurf - outdoors,275000
155,1988,Wimbledon,Stefan Edberg,Boris Becker,Swedish,,,right,Grass / Outdoor,165000
154,1988,French Open,Mats Wilander,Henri Leconte,Swedish,,,right,Clay,1500240
153,1988,Australian Open,Mats Wilander,Pat Cash,Swedish,,,right,Rebound Ace,105000
152,1987,U.S. Open,Ivan Lendl,Mats Wilander,Czechoslovakia,,,right,DecoTurf - outdoors,250000
151,1987,Wimbledon,Pat Cash,Ivan Lendl,Australian,,,right,Grass / Outdoor,155000
150,1987,French Open,Ivan Lendl,Mats Wilander,Czechoslovakia,,,right,Clay,1303800
149,1987,Australian Open,Stefan Edberg,Pat Cash,Swedish,,,right,Grass,103875
148,1986,U.S. Open,Ivan Lendl,Miloslav Mecir,Czechoslovakia,,,right,DecoTurf - outdoors,210000
147,1986,Wimbledon,Boris Becker,Ivan Lendl,German,,,right,Grass / Outdoor,140000
146,1986,French Open,Ivan Lendl,Mikael Pernfors,Czechoslovakia,,,right,Clay,1397250
145,1985,Australian Open,Stefan Edberg,Mats Wilander,Swedish,,,right,Grass,100000
144,1985,U.S. Open,Ivan Lendl,John McEnroe,Czechoslovakia,,,right,DecoTurf - outdoors,187500
143,1985,Wimbledon,Boris Becker,Kevin Curren,German,,,right,Grass / Outdoor,130000
142,1985,French Open,Mats Wilander,Ivan Lendl,Swedish,,,right,Clay,1338200
141,1984,Australian Open,Mats Wilander,Kevin Curren,Swedish,,,right,Grass,100000
140,1984,U.S. Open,John McEnroe,Ivan Lendl,American,,,left,DecoTurf - outdoors,160000
139,1984,Wimbledon,John McEnroe,Jimmy Connors,American,,,left,Grass / Outdoor,100000
138,1984,French Open,Ivan Lendl,John McEnroe,Czechoslovakia,,,right,Clay,1058600
137,1983,Australian Open,Mats Wilander,Ivan Lendl,Swedish,,,right,Grass,100000
136,1983,U.S. Open,Jimmy Connors,Ivan Lendl,American,,,left,DecoTurf - outdoors,120000
135,1983,Wimbledon,John McEnroe,Chris Lewis,American,,,left,Grass / Outdoor,66600
134,1983,French Open,Yannick Noah,Mats Wilander,French,,,right,Clay,500000
133,1982,Australian Open,Johan Kriek,Steve Denton,American,,,right,Grass,77500
132,1982,U.S. Open,Jimmy Connors,Ivan Lendl,American,,,left,DecoTurf - outdoors,90000
131,1982,Wimbledon,Jimmy Connors,John McEnroe,American,,,left,Grass / Outdoor,41677
130,1982,French Open,Mats Wilander,Guillermo Vilas,Swedish,,,right,Clay,400000
